Entity,Code,Day,"Daily new estimated infections of COVID-19 (ICL, mean)","Daily new estimated infections of COVID-19 (IHME, mean)","Daily new estimated infections of COVID-19 (YYG, mean)","Daily new estimated infections of COVID-19 (LSHTM, median)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)"
Australia,AUS,2021-04-22,9827.54,63.34,,,19.0
Australia,AUS,2021-04-23,9898.18,63.48,,,22.143
Australia,AUS,2021-04-24,9744.15,63.57,,,21.857
Australia,AUS,2021-04-25,9527.12,63.64,,,21.0
Australia,AUS,2021-04-26,9310.13,63.67,,,21.714
Australia,AUS,2021-04-27,9110.8,63.73,,,23.714
Australia,AUS,2021-04-28,8929.22,63.88,,,24.429
Australia,AUS,2021-04-29,8760.81,64.06,,,25.286
Australia,AUS,2021-04-30,8601.13,64.25,,,23.143
Australia,AUS,2021-05-01,8447.08,64.42,,,22.0
Australia,AUS,2021-05-02,8296.89,64.55,,,22.857
Australia,AUS,2021-05-03,8149.65,64.68,,,20.857
Australia,AUS,2021-05-04,8004.98,64.87,,,18.143
Australia,AUS,2021-05-05,7862.72,65.04,,,16.571
Australia,AUS,2021-05-06,7722.83,65.21,,,15.286
Australia,AUS,2021-05-07,7585.3,65.39,,,13.714
Australia,AUS,2021-05-08,7450.13,65.63,,,13.429
Australia,AUS,2021-05-09,7317.31,65.97,,,13.857
Australia,AUS,2021-05-10,7186.81,66.58,,,12.857
Australia,AUS,2021-05-11,7058.63,67.62,,,12.429
Australia,AUS,2021-05-12,6932.72,68.98,,,11.714
Australia,AUS,2021-05-13,6809.06,70.49,,,9.857
Australia,AUS,2021-05-14,6687.61,72.01,,,8.571
Australia,AUS,2021-05-15,6568.36,73.37,,,8.714
Australia,AUS,2021-05-16,6451.26,74.46,,,7.429
Australia,AUS,2021-05-17,6336.24,75.15,,,6.714
Australia,AUS,2021-05-18,6223.24,75.38,,,7.0
Australia,AUS,2021-05-19,6112.18,75.36,,,6.286
Australia,AUS,2021-05-20,6003.05,75.23,,,6.0
Australia,AUS,2021-05-21,5944.97,75.07,,,6.143
Australia,AUS,2021-05-22,5939.94,75.02,,,5.286
Australia,AUS,2021-05-23,5948.98,74.95,,,5.143
Australia,AUS,2021-05-24,5957.92,74.68,,,6.143
Australia,AUS,2021-05-25,5963.52,74.48,,,6.0
Australia,AUS,2021-05-26,5966.44,74.46,,,8.143
Australia,AUS,2021-05-27,5968.1,74.45,,,9.429
Australia,AUS,2021-05-28,5969.69,74.48,,,10.429
Australia,AUS,2021-05-29,5971.98,74.41,,,11.286
Australia,AUS,2021-05-30,5975.3,74.17,,,12.429
Australia,AUS,2021-05-31,5979.65,73.93,,,12.143
Australia,AUS,2021-06-01,5984.97,73.77,,,12.571
Australia,AUS,2021-06-02,5991.27,73.92,,,11.714
Australia,AUS,2021-06-03,5998.55,74.51,,,10.571
Australia,AUS,2021-06-04,5949.67,75.18,,,11.0
Australia,AUS,2021-06-05,5840.0,75.87,,,10.714
Australia,AUS,2021-06-06,5714.0,76.66,,,51.0
Australia,AUS,2021-06-07,5589.06,77.75,,,49.857
Australia,AUS,2021-06-08,5470.03,79.75,,,48.143
Australia,AUS,2021-06-09,5356.99,82.91,,,46.429
Australia,AUS,2021-06-10,5248.66,87.49,,,45.429
Australia,AUS,2021-06-11,5143.82,94.06,,,43.571
Australia,AUS,2021-06-12,5041.6,101.84,,,42.429
Australia,AUS,2021-06-13,4941.48,109.74,,,8.286
Australia,AUS,2021-06-14,4843.21,117.65,,,8.286
Australia,AUS,2021-06-15,4746.65,124.89,,,8.286
Australia,AUS,2021-06-16,4651.64,131.23,,,8.286
Australia,AUS,2021-06-17,4557.86,137.2,,,8.286
Australia,AUS,2021-06-18,4479.74,142.38,,,8.286
Australia,AUS,2021-06-19,4417.84,146.45,,,8.286
Australia,AUS,2021-06-20,4360.11,149.79,,,12.429
Australia,AUS,2021-06-21,4302.0,151.98,,,12.429
Australia,AUS,2021-06-22,4242.39,153.89,,,12.429
Australia,AUS,2021-06-23,4181.42,157.71,,,12.429
Australia,AUS,2021-06-24,4119.54,163.94,,,12.429
Australia,AUS,2021-06-25,4057.16,173.36,,,12.429
Australia,AUS,2021-06-26,3994.56,186.35,,,12.429
Australia,AUS,2021-06-27,3931.94,202.11,,,33.571
Australia,AUS,2021-06-28,3869.42,220.06,,,33.571
Australia,AUS,2021-06-29,3807.07,237.38,,,33.571
Australia,AUS,2021-06-30,3744.95,252.19,,,33.571
Australia,AUS,2021-07-01,3683.11,263.83,,,33.571
Australia,AUS,2021-07-02,3643.33,270.77,,,33.571
Australia,AUS,2021-07-03,3626.66,275.55,,,33.571
Australia,AUS,2021-07-04,3615.7,280.26,,,39.429
Australia,AUS,2021-07-05,3603.94,286.2,,,39.429
Australia,AUS,2021-07-06,3589.78,300.9,,,39.429
Australia,AUS,2021-07-07,3573.39,324.82,,,39.429
Australia,AUS,2021-07-08,3555.37,353.33,,,39.429
Australia,AUS,2021-07-09,3536.25,386.31,,,39.429
Australia,AUS,2021-07-10,3516.38,417.33,,,39.429
Australia,AUS,2021-07-11,3495.94,443.62,,,78.429
Australia,AUS,2021-07-12,3475.04,468.3,,,78.429
Australia,AUS,2021-07-13,3453.72,491.59,,,78.429
Australia,AUS,2021-07-14,3431.98,515.45,,,78.429
Australia,AUS,2021-07-15,3409.85,541.98,,,78.429
Australia,AUS,2021-07-16,3356.51,571.25,,,78.429
Australia,AUS,2021-07-17,3270.46,607.89,,,78.429
Australia,AUS,2021-07-18,3176.28,645.95,,,125.0
Australia,AUS,2021-07-19,3083.55,675.16,,,125.0
Australia,AUS,2021-07-20,2994.95,696.26,,,125.0
Australia,AUS,2021-07-21,2910.49,709.6,,,125.0
Australia,AUS,2021-07-22,2829.47,713.49,,,125.0
Australia,AUS,2021-07-23,2751.25,709.59,,,125.0
Australia,AUS,2021-07-24,2675.41,698.45,,,125.0
Australia,AUS,2021-07-25,2601.7,684.18,,,180.0
Australia,AUS,2021-07-26,2529.97,671.31,,,180.0
Australia,AUS,2021-07-27,2460.12,664.93,,,180.0
Australia,AUS,2021-07-28,2392.1,669.52,,,180.0
Australia,AUS,2021-07-29,2325.84,684.45,,,180.0
Australia,AUS,2021-07-30,2261.3,712.37,,,180.0
Australia,AUS,2021-07-31,2198.45,755.77,,,180.0
Australia,AUS,2021-08-01,2137.24,814.68,,,238.143
Australia,AUS,2021-08-02,2077.63,891.66,,,238.143
Australia,AUS,2021-08-03,2019.57,983.29,,,238.143
Australia,AUS,2021-08-04,1963.03,1086.73,,,238.143
Australia,AUS,2021-08-05,1907.98,1198.77,,,238.143
Australia,AUS,2021-08-06,1854.39,1306.03,,,238.143
Australia,AUS,2021-08-07,1802.22,1399.97,,,238.143
Australia,AUS,2021-08-08,1751.45,1481.94,,,330.429
Australia,AUS,2021-08-09,1702.06,1552.48,,,330.429
Australia,AUS,2021-08-10,1654.0,1615.44,,,330.429
Australia,AUS,2021-08-11,1607.21,1676.61,,,330.429
Australia,AUS,2021-08-12,1561.61,1738.86,,,330.429
Australia,AUS,2021-08-13,1517.15,1808.95,,,330.429
Australia,AUS,2021-08-14,1473.79,1892.35,,,330.429
Australia,AUS,2021-08-15,1431.5,1981.68,,,516.143
Australia,AUS,2021-08-16,1390.25,2074.11,,,516.143
Australia,AUS,2021-08-17,1350.04,2181.6,,,516.143
Australia,AUS,2021-08-18,1310.83,2304.35,,,516.143
Australia,AUS,2021-08-19,1272.61,2432.44,,,516.143
Australia,AUS,2021-08-20,1235.35,2563.15,,,516.143
Australia,AUS,2021-08-21,1199.0,2680.66,,,516.143
Australia,AUS,2021-08-22,1163.5,2774.37,,,876.143
Australia,AUS,2021-08-23,1128.8,2846.09,,,876.143
Australia,AUS,2021-08-24,1094.88,2900.57,,,876.143
Australia,AUS,2021-08-25,1061.71,2956.81,,,876.143
Australia,AUS,2021-08-26,1029.29,3030.74,,,876.143
Australia,AUS,2021-08-27,997.6,3124.69,,,876.143
Australia,AUS,2021-08-28,966.63,3242.85,,,876.143
Australia,AUS,2021-08-29,936.37,3382.22,,,1162.857
Australia,AUS,2021-08-30,906.79,3523.73,,,1162.857
Australia,AUS,2021-08-31,877.8,3668.25,,,1162.857
Australia,AUS,2021-09-01,849.34,3817.07,,,1162.857
Australia,AUS,2021-09-02,821.38,3947.74,,,1162.857
Australia,AUS,2021-09-03,793.91,4045.94,,,1162.857
Australia,AUS,2021-09-04,766.91,4092.29,,,1162.857
Australia,AUS,2021-09-05,740.39,4089.06,,,1584.857
Australia,AUS,2021-09-06,714.36,4070.24,,,1584.857
Australia,AUS,2021-09-07,688.83,4055.19,,,1584.857
Australia,AUS,2021-09-08,663.81,4063.8,,,1584.857
Australia,AUS,2021-09-09,639.31,4105.02,,,1584.857
Australia,AUS,2021-09-10,718.77,4160.03,,,1584.857
Australia,AUS,2021-09-11,909.21,4225.01,,,1584.857
Australia,AUS,2021-09-12,1141.2,4297.88,,,1799.429
Australia,AUS,2021-09-13,1402.25,4349.04,,,1799.429
Australia,AUS,2021-09-14,1701.44,4402.14,,,1799.429
Australia,AUS,2021-09-15,2053.46,4464.38,,,1799.429
Australia,AUS,2021-09-16,2473.78,4503.75,,,1799.429
Australia,AUS,2021-09-17,2978.45,4543.42,,,1799.429
Australia,AUS,2021-09-18,3585.11,4592.6,,,1799.429
Australia,AUS,2021-09-19,4314.15,4645.12,,,1757.286
Australia,AUS,2021-09-20,5189.65,4708.69,,,1757.286
Australia,AUS,2021-09-21,6240.22,4805.64,,,1757.286
Australia,AUS,2021-09-22,7499.78,4922.69,,,1757.286
Australia,AUS,2021-09-23,9008.45,5026.71,,,1757.286
Australia,AUS,2021-09-24,9803.8,5101.31,,,1757.286
Australia,AUS,2021-09-25,9633.58,5154.2,,,1757.286
Australia,AUS,2021-09-26,9148.79,5166.22,,,1785.429
Australia,AUS,2021-09-27,8622.15,5129.46,,,1785.429
Australia,AUS,2021-09-28,8143.67,5097.8,,,1785.429
Australia,AUS,2021-09-29,7727.34,5088.01,,,1785.429
Australia,AUS,2021-09-30,7362.32,5073.23,,,1785.429
Australia,AUS,2021-10-01,7034.11,5068.04,,,1785.429
Australia,AUS,2021-10-02,6731.31,5043.99,,,1785.429
Australia,AUS,2021-10-03,6446.58,4998.65,,,2200.143
Australia,AUS,2021-10-04,6175.66,4949.53,,,2200.143
Australia,AUS,2021-10-05,5916.23,4865.73,,,2200.143
Australia,AUS,2021-10-06,5667.1,4765.78,,,2200.143
Australia,AUS,2021-10-07,5427.64,4679.71,,,2200.143
Australia,AUS,2021-10-08,5426.11,4598.9,,,2200.143
Australia,AUS,2021-10-09,5666.88,4534.27,,,2200.143
Australia,AUS,2021-10-10,5967.33,4489.31,,,2183.0
Australia,AUS,2021-10-11,6264.23,4439.43,,,2183.0
Australia,AUS,2021-10-12,6543.98,4354.95,,,2183.0
