Entity,Date,Beta,Susceptible
Ireland,22/07/2021,0.05753986114373902,0.942710967
Ireland,24/07/2021,0.06621266224504471,0.942223619
Ireland,26/07/2021,0.06116310343221463,0.941679932
Ireland,28/07/2021,0.04282931592305482,0.941201742
Ireland,30/07/2021,0.027522257941482088,0.940720964
Ireland,01/08/2021,0.040944589295994226,0.940151197
Ireland,03/08/2021,0.07100606410969218,0.93964852
Ireland,05/08/2021,0.08937486564682932,0.939203378
Ireland,07/08/2021,0.07750617051636612,0.93866407
Ireland,09/08/2021,0.06363652878025046,0.937945591
Ireland,11/08/2021,0.050923544867559234,0.937298979
Ireland,13/08/2021,0.045929867901231096,0.936636441
Ireland,15/08/2021,0.03983375599812853,0.935897655
Ireland,17/08/2021,0.039294431760622396,0.935134781
Ireland,19/08/2021,0.03641814680411359,0.934550083
Ireland,21/08/2021,0.04155219773091476,0.933848924
Ireland,23/08/2021,0.039843236051331776,0.933008209
Ireland,25/08/2021,0.04348631079054785,0.932355625
Ireland,27/08/2021,0.043308965031831785,0.9316345580000001
Ireland,29/08/2021,0.03888212139292421,0.9308898
Ireland,31/08/2021,0.033068225786327635,0.930152607
Ireland,02/09/2021,0.036035395208698535,0.929620267
Ireland,04/09/2021,0.041494912299413614,0.928915524
Ireland,06/09/2021,0.04936897538290067,0.928296385
Ireland,08/09/2021,0.04862796094265031,0.927835316
Ireland,10/09/2021,0.045404591674900706,0.927237678
Ireland,12/09/2021,0.0442534614114775,0.926662337
Ireland,14/09/2021,0.043770255176230934,0.926102525
Ireland,16/09/2021,0.0484713219272376,0.925693813
Ireland,18/09/2021,0.053311290444897526,0.925178396
Ireland,20/09/2021,0.04995260028799223,0.9246126100000001
Ireland,22/09/2021,0.05512032495895419,0.924139995
Ireland,24/09/2021,0.05798260069760749,0.923572816
Ireland,26/09/2021,0.06010642153333945,0.923071732
Ireland,28/09/2021,0.058017116420849,0.922515502
Ireland,30/09/2021,0.05457790551367041,0.92200964
Ireland,02/10/2021,0.053525169054850094,0.921469337
Ireland,04/10/2021,0.05433106222966719,0.920943169
Ireland,06/10/2021,0.053948030079352886,0.920556158
Ireland,08/10/2021,0.05305200428511985,0.920136895
Ireland,10/10/2021,0.04565974647347906,0.919498247
Ireland,12/10/2021,0.04800596232029672,0.918836505
Ireland,14/10/2021,0.05349252649370486,0.918276493
Ireland,16/10/2021,0.057588165163813106,0.917544476
Ireland,18/10/2021,0.05599697694038483,0.916730837
Ireland,20/10/2021,0.05207338288500692,0.916142356
Ireland,22/10/2021,0.04813011476509302,0.915237737
Ireland,24/10/2021,0.05464231107965046,0.914343669
Ireland,26/10/2021,0.058636981521320825,0.913517089
Ireland,28/10/2021,0.05766736126589124,0.912715793
Ireland,30/10/2021,0.05403339464361989,0.911875277
Ireland,01/11/2021,0.05632764152659026,0.910778944
Ireland,03/11/2021,0.06173161745364941,0.909819777
Ireland,05/11/2021,0.06630602656701036,0.908446723
Ireland,07/11/2021,0.057234938009474975,0.907067696
Ireland,09/11/2021,0.04552582142760884,0.90565164
Ireland,11/11/2021,0.033080276140575016,0.903961054
Ireland,13/11/2021,0.032993730239356985,0.902638167
Ireland,15/11/2021,0.040868943922541145,0.9006234790000001
Ireland,17/11/2021,0.04933247234149033,0.898957179
Ireland,19/11/2021,0.04811181028466482,0.897358169
Ireland,21/11/2021,0.04605419659951929,0.895809527
Ireland,23/11/2021,0.05815157165016427,0.893791652
Ireland,25/11/2021,0.056860358738798356,0.891941205
Ireland,27/11/2021,0.055073547851664406,0.890218367
Ireland,29/11/2021,0.05354984212120437,0.888345025
Ireland,01/12/2021,0.05572201408355129,0.886685096
Ireland,03/12/2021,0.06699331947514849,0.884844005
Ireland,05/12/2021,0.08162861617588482,0.8829394070000001
Ireland,07/12/2021,0.10080821516686184,0.880793724
Ireland,09/12/2021,0.11481037204485643,0.8791063219999999
Ireland,11/12/2021,0.11068533365074373,0.877488001
Ireland,13/12/2021,0.11528178737890633,0.875875255
Ireland,15/12/2021,0.11488902191879606,0.874013858
Ireland,17/12/2021,0.10355776699463352,0.8724011110000001
Ireland,19/12/2021,0.08799144384198314,0.8708610290000001
Ireland,21/12/2021,0.07510753725109033,0.86838109
Ireland,23/12/2021,0.06701158319185914,0.866378943
Ireland,25/12/2021,0.06668610693072578,0.863647965
Ireland,27/12/2021,0.0637792215376902,0.858681517
Ireland,29/12/2021,0.053089476861387035,0.8552694869999999
Ireland,31/12/2021,0.03820061222725726,0.850206088
Ireland,02/01/2022,0.02147981412118251,0.842110701
Ireland,04/01/2022,0.007487663196331488,0.8341204289999999
Ireland,06/01/2022,0.0028240985008792054,0.826498057
Ireland,08/01/2022,0.010407360046214769,0.818241615
Ireland,10/01/2022,0.02766863713026901,0.808676222
Ireland,12/01/2022,0.04410169801048049,0.799659295
Ireland,14/01/2022,0.057384687321688534,0.79165648
Ireland,16/01/2022,0.05573188579963427,0.784495774
Ireland,18/01/2022,0.04452583189963678,0.779457459
Ireland,20/01/2022,0.02996370893488866,0.777049389
Ireland,22/01/2022,0.024263216993842148,0.774587566
Ireland,24/01/2022,0.026963956056684415,0.77194259
Ireland,26/01/2022,0.03772399535129792,0.77026574
Ireland,28/01/2022,0.044668047257455615,0.768352383
Ireland,30/01/2022,0.047259751580551845,0.766287127
Ireland,01/02/2022,0.05449406483449215,0.76439766
Ireland,03/02/2022,0.05163062272028496,0.762789094
Ireland,05/02/2022,0.046924524990191924,0.760399936
Ireland,07/02/2022,0.04730687849319186,0.757820457
Ireland,09/02/2022,0.04469068220758701,0.7560470530000001
Ireland,11/02/2022,0.045460331436219435,0.754164354
Ireland,13/02/2022,0.03837719196615131,0.75172224
Ireland,15/02/2022,0.03210148068533474,0.7498765700000001
Ireland,17/02/2022,0.03299694959365509,0.748352813
Ireland,19/02/2022,0.040927667581048315,0.7463042799999999
Ireland,21/02/2022,0.0622491641500814,0.744388136
Ireland,23/02/2022,0.07527246235965299,0.743029614
